name,building_no,street_name,postcode,country,telephone_number,x_coordinate,y_coordinate
Ernie Charlo,9164,5202 Bartelt Circle,LS6,United Kingdom,+44 748 189 6285,53.8145,-1.56285
Imojean Truckell,79937,79 Arizona Park,LS6,United Kingdom,+44 944 603 6307,53.8145,-1.56285
Mildred Malitrott,1027,9788 Briar Crest Court,KW10,United Kingdom,+44 889 150 9781,57.961476,-4.031512
Beverly McGinly,812,731 High Crossing Trail,G4,United Kingdom,+44 609 122 8936,55.8709949,-4.2494388
Munroe Grimmett,4538,197 Toban Court,SY4,United Kingdom,+44 462 143 7808,52.753093,-2.941678
Benni Brady,3,6294 6th Junction,NN11,United Kingdom,+44 327 963 5574,52.2679288,-1.1202549
Kelsey Mcwhinney,8,37777 Carioca Junction,DT10,United Kingdom,+44 677 328 6280,50.887101,-2.355369
Abra Roose,6745,9 Sloan Alley,LE16,United Kingdom,+44 769 748 8897,52.501244,-0.766168
Candi Casolla,9,489 Springs Junction,GU32,United Kingdom,+44 833 306 4073,50.994689,-0.964804
Deloria Fihelly,194,67245 Clemons Pass,BT66,United Kingdom,+44 230 600 5236,54.4429264,-6.4175653
